planta,Ve_m_s,ganho,unidade,original,v3,razao_orig_v3
2,12,"theta -> profundor","deg/deg",-8.43417,-1.62919,5.177
2,12,"q -> profundor","deg/(deg/s)",-0.272194,-0.308621,0.882
2,12,"alpha -> profundor","deg/deg",0.113041,0.904843,0.1249
2,12,"int(theta) -> profundor","deg/(deg s)",-10.9083,-1.04167,10.47
2,12,"H -> theta_ref","deg/m",-29.1413,-4.79081,6.083
2,12,"theta -> theta_ref","rad/rad",-5.06432,-0.768047,6.594
2,12,"alpha -> theta_ref","rad/rad",4.47441,0.00554632,806.7
2,12,"int(H) -> theta_ref","deg/(m s)",-11.6024,-0.454728,25.52
2,12,"VT -> manete","%/(m/s)",-78.8104,-31.1127,2.533
2,12,"int(VT) -> manete","%/m",-50,-0.0886636,563.9
2,12,"phi -> aileron","rad/rad",0.159514,0.569329,0.2802
2,12,"p -> aileron","rad/(rad/s)",0.0101335,0.0868148,0.1167
2,12,"r -> leme","rad/(rad/s)",-0.0816685,-0.144489,0.5652
2,12,"beta -> leme","rad/rad",-0.0108478,0.153998,0.07044
2,12,"int(phi) -> aileron","rad/(rad s)",0.172028,0.359914,0.478
2,12,"psi -> phi_ref","rad/rad",-6.0372,-0.86899,6.947
2,12,"beta -> phi_ref","rad/rad",-5.38726,0.214053,25.17
2,12,"int(psi) -> phi_ref","rad/(rad s)",-7.77327,-0.131324,59.19
5,15,"theta -> profundor","deg/deg",-8.40609,-1.62957,5.158
5,15,"q -> profundor","deg/(deg/s)",-0.248241,-0.268377,0.925
5,15,"alpha -> profundor","deg/deg",0.134541,1.02709,0.131
5,15,"int(theta) -> profundor","deg/(deg s)",-10.9083,-1.04167,10.47
5,15,"H -> theta_ref","deg/m",-28.5926,-3.41766,8.366
5,15,"theta -> theta_ref","rad/rad",-6.18288,-0.934524,6.616
5,15,"alpha -> theta_ref","rad/rad",5.54546,-0.0515393,107.6
5,15,"int(H) -> theta_ref","deg/(m s)",-11.6024,-0.447208,25.94
5,15,"VT -> manete","%/(m/s)",-78.8105,-5.39937,14.6
5,15,"int(VT) -> manete","%/m",-50,-0.737093,67.83
5,15,"phi -> aileron","rad/rad",0.123662,0.577735,0.214
5,15,"p -> aileron","rad/(rad/s)",0.00522191,0.0768833,0.06792
5,15,"r -> leme","rad/(rad/s)",-0.0404602,-0.122227,0.331
5,15,"beta -> leme","rad/rad",-0.0176212,0.168398,0.1046
5,15,"int(phi) -> aileron","rad/(rad s)",0.10835,0.387299,0.2798
5,15,"psi -> phi_ref","rad/rad",-5.05246,-0.97513,5.181
5,15,"beta -> phi_ref","rad/rad",-4.70848,0.548009,8.592
5,15,"int(psi) -> phi_ref","rad/(rad s)",-5.44972,-0.1382,39.43
8,18,"theta -> profundor","deg/deg",-8.38717,-1.6223,5.17
8,18,"q -> profundor","deg/(deg/s)",-0.231443,-0.240342,0.963
8,18,"alpha -> profundor","deg/deg",0.155588,1.1383,0.1367
8,18,"int(theta) -> profundor","deg/(deg s)",-10.9083,-1.04167,10.47
8,18,"H -> theta_ref","deg/m",-28.2962,-2.97691,9.505
8,18,"theta -> theta_ref","rad/rad",-7.25718,-1.0655,6.811
8,18,"alpha -> theta_ref","rad/rad",6.5948,-0.0963172,68.47
8,18,"int(H) -> theta_ref","deg/(m s)",-11.6024,-0.444767,26.09
8,18,"VT -> manete","%/(m/s)",-78.8069,-4.77375,16.51
8,18,"int(VT) -> manete","%/m",-50,-0.72956,68.53
8,18,"phi -> aileron","rad/rad",0.102021,0.587001,0.1738
8,18,"p -> aileron","rad/(rad/s)",0.0030325,0.0736747,0.04116
8,18,"r -> leme","rad/(rad/s)",-0.0228178,-0.106376,0.2145
8,18,"beta -> leme","rad/rad",-0.0161744,0.165162,0.09793
8,18,"int(phi) -> aileron","rad/(rad s)",0.0750947,0.406364,0.1848
8,18,"psi -> phi_ref","rad/rad",-8.75976,-1.06844,8.199
8,18,"beta -> phi_ref","rad/rad",-8.45189,0.93504,9.039
8,18,"int(psi) -> phi_ref","rad/(rad s)",-8.46247,-0.141955,59.61
