caso,modos,canal,t0,t1,OS_orig,tr_orig,ts_orig,ess_orig,OS_v3,tr_v3,ts_v3,ess_v3
1,"Velocity Hold + phi Hold + theta Hold",Airspeed,10,20,0,3.23,5.89,-0.007362,0,NaN,NaN,-1.758
1,"Velocity Hold + phi Hold + theta Hold",theta,40,60,3.149,1.3,3.8,-0.001048,0.5365,3.16,6.46,0.02116
1,"Velocity Hold + phi Hold + theta Hold",phi,90,110,3.909,1.61,4.56,-0.0001232,2.103e-05,2.42,4.42,-2.479e-05
2,"Velocity Hold + phi Hold + H Hold",Airspeed,10,20,0,3.11,5.83,-0.006711,0,NaN,NaN,-1.415
2,"Velocity Hold + phi Hold + H Hold",Altitude,40,60,0.8801,3.48,5.71,-0.005883,0,9.83,NaN,-0.1202
2,"Velocity Hold + phi Hold + H Hold",phi,90,110,3.95,1.6,4.56,-0.0001111,0.001418,2.41,4.44,6.784e-05
3,"Velocity Hold + psi Hold + theta Hold",Airspeed,10,20,0,3.23,5.89,-0.007362,0,NaN,NaN,-1.758
3,"Velocity Hold + psi Hold + theta Hold",theta,40,60,3.149,1.3,3.8,-0.001048,0.5365,3.16,6.46,0.02116
3,"Velocity Hold + psi Hold + theta Hold",psi,90,110,31.18,1.1,13.89,0.01295,0.6177,9.45,15.69,0.01868
4,"Velocity Hold + psi Hold + H Hold",Airspeed,10,20,0,3.11,5.83,-0.006711,0,NaN,NaN,-1.415
4,"Velocity Hold + psi Hold + H Hold",Altitude,40,60,0.8801,3.48,5.71,-0.005883,0,9.83,NaN,-0.1202
4,"Velocity Hold + psi Hold + H Hold",psi,90,110,30.95,1.1,13.83,0.01231,0.925,9.4,15.41,0.03587
5,"Throttle fixo + phi Hold + theta Hold",theta,40,60,0,1.67,8.22,-0.002377,0,3.67,9.22,-0.003586
5,"Throttle fixo + phi Hold + theta Hold",phi,90,110,3.871,1.62,4.56,-0.0001232,0,2.42,4.42,-0.0002345
6,"Throttle fixo + phi Hold + H Hold",phi,90,110,3.888,1.62,4.55,-9.22e-05,0,2.42,4.42,-0.0002131
7,"Throttle fixo + psi Hold + theta Hold",theta,40,60,0,1.67,8.22,-0.002377,0,3.67,9.22,-0.003586
7,"Throttle fixo + psi Hold + theta Hold",psi,90,110,31.36,1.11,12.48,0.01327,0.9186,9.34,15.39,0.03568
8,"Throttle fixo + psi Hold + H Hold",psi,90,110,31.1,1.11,12.45,0.01279,0.9103,9.35,15.41,0.03514
